symbol,price,ret_5d,ret_20d,vol_20d,score,alpha_label
NTAP,99.0199966430664,-0.030299999999999997,-0.06496699512446391,1.47,-0.1105,➖ NEUTRAL
CTAS,198.31500244140625,-0.0304,-0.007930133606988687,0.88,-0.1108,➖ NEUTRAL
SJM,107.91999816894531,-0.030699999999999998,-0.018547783011157226,1.81,-0.1114,➖ NEUTRAL
TMUS,213.44000244140625,-0.0322,0.02351014122065176,1.23,-0.1144,➖ NEUTRAL
NTRS,138.07000732421875,-0.032400000000000005,-0.05225902615962563,1.8,-0.1149,➖ NEUTRAL
CMCSA,30.56999969482422,-0.0326,-0.05880541485009516,1.12,-0.1152,➖ NEUTRAL
TGT,116.33460235595703,-0.0334,0.01504756772027882,1.51,-0.1169,➖ NEUTRAL
EPAM,139.5399932861328,-0.0349,-0.21602343401527657,1.96,-0.1197,➖ NEUTRAL
XLV,152.3699951171875,-0.01,-0.024832031249999997,0.78,-0.12,➖ NEUTRAL
GWW,1104.68505859375,-0.0358,-0.08132004498390666,0.95,-0.1216,➖ NEUTRAL
VST,161.36000061035156,-0.0361,0.007555459007068777,2.36,-0.1222,➖ NEUTRAL
PGR,202.9600067138672,-0.0362,-0.0259633753903854,0.97,-0.1224,➖ NEUTRAL
DG,144.83999633789062,-0.011699999999999999,-0.01576520295246575,0.96,-0.1233,➖ NEUTRAL
MSCI,545.3099975585938,-0.0369,0.06959024751028564,1.17,-0.1238,➖ NEUTRAL
BBY,63.150001525878906,-0.0373,-0.05858676502534599,1.8,-0.1247,➖ NEUTRAL
TRMB,67.69380187988281,-0.0393,0.03936442092096515,1.43,-0.1285,➖ NEUTRAL
MNST,77.5199966430664,0.010700000000000001,-0.04047535877465824,1.4,-0.1286,➖ NEUTRAL
VLTO,91.41999816894531,-0.039599999999999996,-0.03768422980057562,1.02,-0.1292,➖ NEUTRAL
AIZ,218.1199951171875,-0.039900000000000005,0.01387048155385262,1.25,-0.1298,➖ NEUTRAL
GLW,129.3300018310547,-0.04019999999999999,-0.02504593082562301,4.64,-0.1303,➖ NEUTRAL
SCHW,91.5199966430664,-0.0408,-0.03793550193941386,1.07,-0.1315,➖ NEUTRAL
ADP,213.52000427246094,-0.0412,-0.018614712117569487,1.69,-0.1324,➖ NEUTRAL
HSY,217.13999938964844,-0.0417,-0.05321287171267197,1.09,-0.1333,➖ NEUTRAL
HWM,248.02999877929688,-0.0173,0.07442058575505328,1.09,-0.1345,➖ NEUTRAL
CBOE,284.8299865722656,-0.0426,0.06288451133700246,1.28,-0.1351,➖ NEUTRAL
IQV,170.67999267578125,-0.0438,-0.03668585770795374,2.19,-0.1376,➖ NEUTRAL
GL,140.42999267578125,-0.020499999999999997,-0.024317377739913826,0.77,-0.141,➖ NEUTRAL
XLY,114.13999938964844,-0.0207,-0.03074051189634186,0.75,-0.1414,➖ NEUTRAL
INVH,25.209999084472656,-0.0458,-0.07316182436208651,1.0,-0.1416,➖ NEUTRAL
QCOM,134.1199951171875,-0.021,-0.042958636706615594,1.34,-0.142,➖ NEUTRAL
AMAT,338.92498779296875,-0.0219,-0.0015661697974029831,2.87,-0.1439,➖ NEUTRAL
AES,14.255000114440918,0.0025,-0.13290756378566926,2.12,-0.1451,➖ NEUTRAL
ARE,50.540000915527344,-0.0241,-0.05989578695198938,1.41,-0.1483,➖ NEUTRAL
D,63.025001525878906,0.0004,-0.014746223128237812,0.69,-0.1492,➖ NEUTRAL
AME,221.10000610351562,-0.0253,-0.060308502645758266,1.5,-0.1506,➖ NEUTRAL
CTSH,62.43000030517578,-0.0509,-0.11510815095498561,1.78,-0.1519,➖ NEUTRAL
MCO,445.92999267578125,-0.0513,0.08408843770534524,1.6,-0.1526,➖ NEUTRAL
HII,409.8399963378906,-0.0269,0.04690772284087763,1.67,-0.1538,➖ NEUTRAL
AIG,77.84500122070312,-0.0278,-0.007585430930443726,0.86,-0.1556,➖ NEUTRAL
QRVO,79.12999725341797,-0.0034999999999999996,-0.07795388563500216,0.8,-0.1571,➖ NEUTRAL
FTV,56.32500076293945,-0.0294,-0.04062337521248538,1.02,-0.1588,➖ NEUTRAL
PEG,82.74500274658203,-0.0060999999999999995,-0.008794093390323443,0.54,-0.1622,➖ NEUTRAL
ROK,366.635009765625,-0.0313,-0.09553762073593186,1.9,-0.1627,➖ NEUTRAL
AON,319.5150146484375,-0.056799999999999996,0.0307933457758649,1.44,-0.1637,➖ NEUTRAL
XYL,122.12999725341797,-0.0322,-0.03333544083996398,1.2,-0.1643,➖ NEUTRAL
WBD,27.78660011291504,-0.0076,-0.00726686887696959,0.66,-0.1652,➖ NEUTRAL
J,131.625,-0.0329,-0.0730119811777773,1.59,-0.1658,➖ NEUTRAL
CL,89.61499786376953,-0.033,-0.059752385276508946,1.36,-0.1659,➖ NEUTRAL
SBAC,189.22000122070312,-0.0331,-0.00911188433173482,1.29,-0.1661,➖ NEUTRAL
SPGI,424.8699951171875,-0.0582,0.08981881337756747,1.48,-0.1663,➖ NEUTRAL
